Model,Release Date,Release Year,Model ID,RAM Capacity (Mb),Storage (Mb),CPU Clock (MHz),Display Diagonal (in),Display Width(px),Display Length(px),Width (mm),Length (mm),Depth (mm),Volume (cubic cm),Mass (grams),Pixel Density (per inch)
Nokia 9000 Communicator,1/08/1996,1997,21,0.001922666,6.45E-05,0.011549266,0.201438849,0.219512195,0.083333333,0.454297408,0.06147541,0.204618345,0.080637218,0.07262931,0.261736497
Hewlett-Packard OmniGo 120 Organizer Plus,1/09/1996,1997,22,0.000946074,4.81E-05,0.007547442,0.143884892,0.056910569,0.103174603,0.396998636,0.18852459,0.108402822,0.061666274,0.057974138,0.116860172
Psion Series 3c,1/09/1996,1997,23,0.000946074,1.54E-05,0.003385544,0.258992806,0.154471545,0.063492063,0.432469304,0.147540984,0.101988454,0.056634477,0.046336207,0.129984856
Psion Siena,1/09/1996,1997,24,0.000457778,1.54E-05,0.003385544,0.079136691,0.056910569,0.063492063,0.39154161,0.098360656,0.08274535,0.035115517,0.026508621,0.152195861
Ericsson MC12,1/12/1996,1997,25,0.001922666,8.09E-05,0.021553829,0.352517986,0.219512195,0.103174603,0.481036835,0.184016393,0.140089801,0.093248828,0.082327586,0.150429076
Hewlett-Packard Palmtop 300LX,1/12/1996,1997,26,0.000946074,8.09E-05,0.021553829,0.352517986,0.219512195,0.103174603,0.481036835,0.184016393,0.140089801,0.093248828,0.079741379,0.150429076
Hewlett-Packard Palmtop 320LX,1/12/1996,1997,27,0.001922666,8.09E-05,0.021553829,0.352517986,0.219512195,0.103174603,0.481036835,0.184016393,0.140089801,0.093248828,0.082327586,0.150429076
Hewlett-Packard 200LX 4MB RAM (HP Felix),1/01/1997,1997,28,0.001922666,4.81E-05,0.003500596,0.244604317,0.219512195,0.103174603,0.416098226,0.147540984,0.127645927,0.065798771,0.054310345,0.224886421
NEC MobilePro 200,1/01/1997,1997,29,0.000946074,6.45E-05,0.016051319,0.244604317,0.154471545,0.103174603,0.459754434,0.18852459,0.129570237,0.084170182,0.070043103,0.152700656
Sharp Mobilon HC-4000,1/01/1997,1997,30,0.003875851,6.45E-05,0.03642461,0.345323741,0.219512195,0.103174603,0.489768076,0.182786885,0.130211674,0.088966448,0.075431034,0.15345785
Casio Cassiopeia A-10,1/02/1997,1997,31,0.001922666,6.45E-05,0.019552916,0.244604317,0.154471545,0.103174603,0.459754434,0.176229508,0.130853111,0.02580134,0.02112069,0.204442201
Apple Newton eMate 300,1/03/1997,1997,32,0.00143437,0.000130058,0.012049495,0.366906475,0.154471545,0.142857143,0.814461119,0.987704918,0.302758178,1,0.377155172,0.101716305
Apple Newton MessagePad 2000,1/03/1997,1997,33,0.002410962,0.000130058,0.080530722,0.316546763,0.089430894,0.222222222,0.306139154,0.661065574,0.137267479,0.13755005,0.125,0.126451287
U.S. Robotics PalmPilot Personal,1/03/1997,1997,34,0.00021363,1.54E-05,0.007547442,0.115107914,0.024390244,0.063492063,0.203274216,0.286885246,0.076330981,0.027707,0.021551724,0.058556285
U.S. Robotics PalmPilot Professional,1/03/1997,1997,35,0.000457778,1.54E-05,0.007547442,0.115107914,0.024390244,0.063492063,0.203274216,0.286885246,0.076330981,0.027707,0.021551724,0.058556285
Casio Cassiopeia A-11,1/05/1997,1997,36,0.001922666,6.45E-05,0.019552916,0.244604317,0.154471545,0.103174603,0.459754434,0.176229508,0.130853111,0.081921932,0.068965517,0.152700656
Sharp Mobilon HC-4100,1/05/1997,1997,37,0.005829035,0.000130058,0.03642461,0.345323741,0.219512195,0.103174603,0.489768076,0.182786885,0.130211674,0.088966448,0.075431034,0.15345785
Compaq PC Companion C120 / PC Companion C120+,1/06/1997,1997,38,0.001922666,6.45E-05,0.019552916,0.244604317,0.154471545,0.103174603,0.459754434,0.176229508,0.130853111,0.028178061,0.028017241,0.152195861
Hewlett-Packard Palmtop 360LX,1/06/1997,1997,39,0.003875851,0.000162829,0.029557478,0.352517986,0.219512195,0.103174603,0.481036835,0.184016393,0.140089801,0.093248828,0.085560345,0.150429076
Psion Series 5,1/06/1997,1997,40,0.001922666,9.73E-05,0.008763996,0.28057554,0.219512195,0.103174603,0.446111869,0.168032787,0.108402822,0.06590583,0.063362069,0.19661787
Psion Series 5 8MB,1/06/1997,1997,41,0.003875851,9.73E-05,0.008763996,0.28057554,0.219512195,0.103174603,0.446111869,0.168032787,0.108402822,0.06590583,0.063362069,0.19661787
IBM WorkPad 10u,1/07/1997,1998,42,0.000457778,1.54E-05,0.007547442,0.115107914,0.024390244,0.063492063,0.203274216,0.286885246,0.076330981,0.027707,0.021551724,0.058556285
IBM WorkPad 20X,1/07/1997,1998,43,0.000946074,1.54E-05,0.007547442,0.115107914,0.024390244,0.063492063,0.203274216,0.286885246,0.076330981,0.027707,0.021551724,0.058556285
NEC MobilePro 400,1/07/1997,1998,44,0.001922666,0.000130058,0.016051319,0.26618705,0.154471545,0.103174603,0.396998636,0.168032787,0.129570237,0.067597371,0.070043103,0.140837961
Philips Velo 1,1/08/1997,1998,45,0.001922666,0.000130058,0.017984201,0.244604317,0.154471545,0.103174603,0.451568895,0.18852459,0.166132136,0.102520181,0.067672414,0.152700656
Casio Cassiopeia A-11 Plus,1/09/1997,1998,46,0.002899258,6.45E-05,0.019552916,0.244604317,0.154471545,0.103174603,0.459754434,0.176229508,0.130853111,0.081921932,0.068965517,0.152700656
Hewlett-Packard Palmtop 620LX,1/09/1997,1998,47,0.00778222,0.000162829,0.0370609,0.352517986,0.219512195,0.103174603,0.467939973,0.225409836,0.191789609,0.133246258,0.113362069,0.150429076
Hewlett-Packard Palmtop 660LX,1/09/1997,1998,48,0.015594958,0.000162829,0.0370609,0.352517986,0.219512195,0.103174603,0.467939973,0.225409836,0.191789609,0.133246258,0.113362069,0.150429076
Geofox One 4MB,1/10/1997,1998,49,0.001922666,0.000130058,0.008763996,0.366906475,0.219512195,0.142857143,0.492496589,0.290983607,0.089159718,0.086653962,0.07112069,0.154719838
NEC MobilePro 450,1/10/1997,1998,50,0.001922666,0.000130058,0.016051319,0.244604317,0.154471545,0.103174603,0.459754434,0.18852459,0.129570237,0.084170182,0.070258621,0.152700656
Nokia 9000i Communicator,1/10/1997,1998,51,0.001922666,6.45E-05,0.011549266,0.201438849,0.219512195,0.083333333,0.454297408,0.06147541,0.204618345,0.080637218,0.07262931,0.261736497
Apple Newton MessagePad 2100,1/11/1997,1998,52,0.003875851,0.000130058,0.080530722,0.316546763,0.089430894,0.222222222,0.306139154,0.661065574,0.139833226,0.13969124,0.125,0.126451287
Compaq PC Companion C140,1/12/1997,1998,53,0.001922666,6.45E-05,0.019552916,0.244604317,0.154471545,0.103174603,0.459754434,0.176229508,0.130853111,0.028178061,0.028017241,0.152195861
LG Phenom,1/12/1997,1998,54,0.003875851,0.000261141,0.03956204,0.388489209,0.219512195,0.103174603,0.519781719,0.245901639,0.1533034,0.187632486,0.162931034,0.099697123
NEC MobilePro 700,1/01/1998,1998,55,0.003875851,0.000261141,0.02655611,0.45323741,0.219512195,0.103174603,0.648021828,0.299180328,0.1533034,0.181765625,0.13362069,0.103735487
Sharp Mobilon HC-4200,1/01/1998,1998,56,0.005829035,0.000261141,0.03642461,0.345323741,0.219512195,0.103174603,0.489768076,0.182786885,0.130211674,0.088966448,0.075431034,0.15345785
LG Phenom Ultra H-120 CW,1/02/1998,1998,57,0.00778222,0.000195599,0.049566602,0.388489209,0.219512195,0.103174603,0.623465211,0.405737705,0.121231559,0.128492816,0.099784483,0.131499243
3Com Palm III,1/03/1998,1998,58,0.000946074,3.17E-05,0.007547442,0.115107914,0.024390244,0.063492063,0.203274216,0.286885246,0.076330981,0.027707,0.021551724,0.058556285
Symbol SPT 1500,1/03/1998,1998,59,0.000946074,3.17E-05,0.007547442,0.107913669,0.024390244,0.063492063,0.203274216,0.37295082,0.076330981,0.034259041,0.02387931,0.064866229
Hitachi HPW-200EC,1/04/1998,1998,60,0.00778222,0.000195599,0.049566602,0.45323741,0.219512195,0.103174603,0.672578445,0.340163934,0.166132136,0.219386335,0.169827586,0.103735487
Hitachi HPW-20E8M,1/04/1998,1998,61,0.003875851,0.000261141,0.03956204,0.381294964,0.219512195,0.103174603,0.508867667,0.241803279,0.140474663,0.115517204,0.085344828,0.134023221
Ericsson MC16,1/06/1998,1998,62,0.003875851,0.000162829,0.029557478,0.352517986,0.219512195,0.103174603,0.481036835,0.184016393,0.140089801,0.093248828,0.085560345,0.150429076
IBM WorkPad 22X,1/06/1998,1998,63,0.000946074,3.17E-05,0.007547442,0.115107914,0.024390244,0.063492063,0.203274216,0.286885246,0.076330981,0.027707,0.021551724,0.058556285
NEC MobilePro 750,1/06/1998,1998,64,0.00778222,0.000261141,0.03956204,0.45323741,0.219512195,0.103174603,0.648021828,0.299180328,0.1533034,0.181765625,0.13362069,0.103735487
NEC MobilePro 750C,1/06/1998,1998,65,0.00778222,0.000261141,0.03956204,0.45323741,0.219512195,0.103174603,0.648021828,0.360655738,0.191789609,0.248228165,0.171767241,0.103735487
Sharp Mobilon HC-4500,1/06/1998,1998,66,0.00778222,0.000261141,0.03642461,0.345323741,0.219512195,0.103174603,0.489768076,0.18852459,0.150737652,0.102541593,0.09375,0.15345785
Casio Cassiopeia A-20,1/07/1998,1999,67,0.003875851,0.000130058,0.03956204,0.345323741,0.219512195,0.103174603,0.487039563,0.186065574,0.12508018,0.081921932,0.068965517,0.152700656
Nokia 9000il Communicator,1/07/1998,1999,68,0.001922666,6.45E-05,0.011549266,0.201438849,0.219512195,0.083333333,0.454297408,0.06147541,0.204618345,0.080637218,0.07262931,0.261736497
Philips Velo 500,1/07/1998,1999,69,0.00778222,0.000162829,0.0370609,0.323741007,0.219512195,0.103174603,0.454297408,0.192622951,0.1533034,0.097231441,0.078663793,0.16708733
Philips Velo 500 24MB,1/07/1998,1999,70,0.011688589,0.000162829,0.0370609,0.323741007,0.219512195,0.103174603,0.454297408,0.192622951,0.1533034,0.097231441,0.078663793,0.16708733
Casio Cassiopeia E-10,1/09/1998,1999,71,0.003875851,6.45E-05,0.024054969,0.129496403,0.056910569,0.142857143,0.211459754,0.31147541,0.089159718,0.056955656,0.047413793,0.433619384
Compaq PC Companion C2010c / PC Companion C2015c,1/09/1998,1999,72,0.009735405,0.000261141,0.0370609,0.345323741,0.219512195,0.103174603,0.489768076,0.209016393,0.22386145,0.081921932,0.068965517,0.152700656
Compaq PC Companion C800 / PC Companion C810,1/09/1998,1999,73,0.003875851,0.000261141,0.0370609,0.345323741,0.219512195,0.103174603,0.489768076,0.209016393,0.178960872,0.081921932,0.068965517,0.152700656
Compaq PC Companion C810c,1/09/1998,1999,74,0.00778222,0.000261141,0.0370609,0.345323741,0.219512195,0.103174603,0.489768076,0.209016393,0.22386145,0.153844507,0.079741379,0.155224634
Nokia 9110 Communicator,1/09/1998,1999,75,0.001922666,6.45E-05,0.016051319,0.201438849,0.219512195,0.083333333,0.413369714,0.028688525,0.134060295,0.041710383,0.041594828,0.261736497
Philips Nino 300 / Nino 301 / Nino 350,1/09/1998,1999,76,0.001922666,0.000130058,0.0370609,0.143884892,0.056910569,0.142857143,0.219645293,0.348360656,0.08274535,0.037984712,0.035991379,0.157748612
Sharp Mobilon HC-4600,1/09/1998,1999,77,0.00778222,0.000261141,0.036060444,0.345323741,0.219512195,0.103174603,0.489768076,0.18852459,0.150737652,0.102541593,0.09375,0.15345785
Geofox One 16MB,1/10/1998,1999,78,0.001922666,0.000130058,0.008763996,0.366906475,0.219512195,0.142857143,0.492496589,0.290983607,0.089159718,0.086653962,0.07112069,0.154719838
LG Phenom Express,1/10/1998,1999,79,0.015594958,0.000261141,0.049566602,0.460431655,0.219512195,0.103174603,0.626193724,0.413934426,0.127645927,0.176733829,0.170258621,0.131499243
Psion Series 3mx,1/10/1998,1999,80,0.000946074,3.17E-05,0.013374099,0.258992806,0.154471545,0.063492063,0.432469304,0.147540984,0.101988454,0.056634477,0.046336207,0.129984856
Sharp Mobilon TriPad PV-6000,1/10/1998,1999,81,0.00778222,0.000261141,0.041562953,0.553956835,0.219512195,0.222222222,0.773533424,0.725409836,0.121231559,0.341391345,0.299784483,0.103483089
Casio Cassiopeia A-21,1/11/1998,1999,82,0.00778222,0.000130058,0.03956204,0.345323741,0.219512195,0.103174603,0.487039563,0.186065574,0.12508018,0.08628996,0.079956897,0.15345785
Casio Cassiopeia E-11,1/11/1998,1999,83,0.003875851,0.000130058,0.034059531,0.129496403,0.056910569,0.142857143,0.211459754,0.31147541,0.089159718,0.037535062,0.042025862,0.154972236
Samsung eGO-note,1/11/1998,1999,84,0.00778222,0.000261141,0.064073217,0.467625899,0.219512195,0.222222222,0.601637108,0.606557377,0.140474663,0.258655761,0.218965517,0.134528016
Sharp Mobilon Pro PV-5000,1/11/1998,1999,85,0.00778222,0.000261141,0.064073217,0.467625899,0.219512195,0.222222222,0.626739427,0.600409836,0.139833226,0.266406869,0.25237069,0.134528016
Vadem Clio C-1000,1/11/1998,1999,86,0.00778222,0.000392223,0.041562953,0.553956835,0.219512195,0.222222222,0.768076398,0.717213115,0.127645927,0.349699163,0.299784483,0.101716305
Compaq Aero 1500 / 1520,1/12/1998,1999,87,0.00778222,0.000261141,0.034559759,0.165467626,0.056910569,0.142857143,0.19781719,0.336065574,0.04425914,0.067875725,0.05387931,0.21251893
Philips Nino 312 / Nino 320 / Nino 390,1/12/1998,1999,88,0.003875851,0.000130058,0.0370609,0.143884892,0.056910569,0.142857143,0.219645293,0.348360656,0.08274535,0.037984712,0.035991379,0.157748612
Compaq Aero 2100 / 2110,1/01/1999,1999,89,0.003875851,0.000195599,0.034559759,0.165467626,0.056910569,0.142857143,0.214188267,0.348360656,0.089159718,0.019356358,0.017887931,0.139323574
Hewlett-Packard Jornada 820,1/01/1999,1999,90,0.00778222,0.000261141,0.094587132,0.467625899,0.219512195,0.222222222,0.653478854,0.528688525,0.16933932,0.295270111,0.22737069,0.134528016
Hewlett-Packard Jornada 820e,1/01/1999,1999,91,0.00778222,0.000261141,0.094587132,0.467625899,0.219512195,0.222222222,0.653478854,0.528688525,0.16933932,0.295270111,0.22737069,0.134528016
Nokia 9110i Communicator,1/01/1999,1999,92,0.001922666,6.45E-05,0.016051319,0.201438849,0.219512195,0.083333333,0.413369714,0.028688525,0.134060295,0.004132497,0.041594828,0.345784957
3Com Palm IIIx,1/02/1999,1999,93,0.001922666,3.17E-05,0.007547442,0.115107914,0.024390244,0.063492063,0.203274216,0.286885246,0.076330981,0.027707,0.023706897,0.058556285
3Com Palm V,1/02/1999,1999,94,0.000946074,3.17E-05,0.007547442,0.107913669,0.024390244,0.063492063,0.200545703,0.270491803,0.025016036,0.0102563,0.011853448,0.0681474
NEC MobilePro 770,1/02/1999,1999,95,0.015594958,0.000392223,0.065073674,0.460431655,0.219512195,0.103174603,0.650750341,0.336065574,0.145606158,0.18846755,0.153017241,0.100706714
Philips Nino 200 / Nino 210,1/02/1999,1999,96,0.003875851,0.000130058,0.0370609,0.143884892,0.056910569,0.142857143,0.21691678,0.352459016,0.089159718,0.040275785,0.035991379,0.157748612
Hewlett-Packard Jornada 420 / 428,1/03/1999,1999,97,0.003875851,0.000130058,0.049566602,0.129496403,0.056910569,0.142857143,0.204092769,0.329918033,0.107761386,0.042181444,0.040948276,0.17617365
Sharp Telios HC-AJ1,1/03/1999,1999,98,0.00778222,0.000261141,0.064073217,0.388489209,0.284552846,0.281746032,0.506139154,0.672131148,0.116100064,0.202470933,0.161637931,0.244068652
Compaq Aero 2120 / 2130,1/04/1999,1999,99,0.00778222,0.000195599,0.034559759,0.165467626,0.056910569,0.142857143,0.214188267,0.348360656,0.089159718,0.019356358,0.017887931,0.139323574
Hewlett-Packard Jornada 680,1/04/1999,1999,100,0.00778222,0.000261141,0.06607413,0.345323741,0.219512195,0.103174603,0.497953615,0.18852459,0.178960872,0.121277006,0.096982759,0.15345785
Hewlett-Packard Jornada 680e,1/04/1999,1999,101,0.00778222,0.000261141,0.06607413,0.345323741,0.219512195,0.103174603,0.497953615,0.18852459,0.178960872,0.121277006,0.096982759,0.15345785
Hitachi HPW-600ET,1/04/1999,1999,102,0.00778222,0.000523305,0.063572989,0.417266187,0.219512195,0.103174603,0.581991814,0.454918033,0.1533034,0.216452905,0.168103448,0.118626956
Hitachi HPW-600ETM,1/04/1999,1999,103,0.015594958,0.000523305,0.063572989,0.417266187,0.219512195,0.103174603,0.581991814,0.454918033,0.1533034,0.216452905,0.168103448,0.118626956
3Com Palm VII,1/05/1999,1999,104,0.000946074,3.17E-05,0.007547442,0.115107914,0.024390244,0.063492063,0.203274216,0.344262295,0.076330981,0.032075027,0.029741379,0.058556285
Casio Cassiopeia A-23G,1/05/1999,1999,105,0.00778222,0.000130058,0.03956204,0.345323741,0.219512195,0.103174603,0.487039563,0.186065574,0.137267479,0.08628996,0.079956897,0.15345785
Casio Cassiopeia E-100,1/05/1999,1999,106,0.00778222,0.000261141,0.065073674,0.151079137,0.056910569,0.142857143,0.210368349,0.336885246,0.089159718,0.035522343,0.026293103,0.17617365
Casio Cassiopeia E-15,1/05/1999,1999,107,0.00778222,0.000261141,0.034059531,0.129496403,0.056910569,0.142857143,0.208731241,0.323770492,0.057087877,0.037535062,0.040948276,0.154972236
IBM WorkPad z50,1/05/1999,1999,108,0.00778222,0.000261141,0.065073674,0.467625899,0.219512195,0.222222222,0.691678035,0.62704918,0.130853111,0.288568186,0.246982759,0.134528016
Hitachi HPW-600EUT,1/06/1999,1999,109,0.015594958,0.000523305,0.063572989,0.417266187,0.219512195,0.103174603,0.581991814,0.454918033,0.1533034,0.216452905,0.168103448,0.118626956
NTT DoCoMo Sigmarion,1/06/1999,1999,110,0.015594958,0.000523305,0.083582113,0.323741007,0.219512195,0.103174603,0.497953615,0.237704918,0.134060295,0.10746633,0.094827586,0.165320545
Qualcomm pdQ 1900,1/06/1999,1999,111,0.000946074,3.17E-05,0.007547442,0.129496403,0.056910569,0.063492063,0.165075034,0.442622951,0.1533034,0.05813331,0.025646552,0.093387178
Qualcomm pdQ 800,1/06/1999,1999,112,0.000946074,3.17E-05,0.007547442,0.129496403,0.056910569,0.063492063,0.165075034,0.442622951,0.1533034,0.05813331,0.025646552,0.093387178
3Com Palm IIIe,1/07/1999,2000,113,0.000946074,3.17E-05,0.007547442,0.115107914,0.024390244,0.063492063,0.203274216,0.286885246,0.076330981,0.027707,0.023706897,0.058556285
Compaq Aero 8000,1/07/1999,2000,114,0.00778222,0.000261141,0.063572989,0.597122302,0.284552846,0.281746032,0.73260573,0.692622951,0.127645927,0.039333662,0.043103448,0.139323574
Psion Series 5mx,1/07/1999,2000,115,0.00778222,0.000162829,0.017984201,0.28057554,0.219512195,0.103174603,0.446111869,0.168032787,0.108402822,0.06590583,0.063362069,0.19661787
IBM WorkPad 30x,1/08/1999,2000,116,0.001922666,3.17E-05,0.007547442,0.115107914,0.024390244,0.063492063,0.203274216,0.286885246,0.076330981,0.027707,0.023706897,0.058556285
Compaq Aero 1530 / 1550,1/09/1999,2000,117,0.00778222,0.000261141,0.034559759,0.165467626,0.056910569,0.142857143,0.19781719,0.336065574,0.04425914,0.039140955,0.067887931,0.315497224
Handspring Visor Deluxe,1/09/1999,2000,118,0.003875851,3.17E-05,0.007547442,0.115107914,0.024390244,0.063492063,0.190177353,0.298770492,0.075048108,0.025951224,0.020043103,0.058556285
Handspring Visor Solo,1/09/1999,2000,119,0.000946074,3.17E-05,0.007547442,0.115107914,0.024390244,0.063492063,0.190177353,0.298770492,0.075048108,0.025951224,0.020043103,0.058556285
IBM Workpad 40u,1/09/1999,2000,120,0.000946074,3.17E-05,0.007547442,0.107913669,0.024390244,0.063492063,0.200545703,0.270491803,0.025016036,0.0102563,0.011853448,0.0681474
3Com Palm Vx,1/10/1999,2000,121,0.003875851,3.17E-05,0.009548354,0.107913669,0.024390244,0.063492063,0.200545703,0.270491803,0.025016036,0.0102563,0.011637931,0.0681474
HandEra TRGpro,1/10/1999,2000,122,0.003875851,3.17E-05,0.007547442,0.100719424,0.024390244,0.063492063,0.206002729,0.295081967,0.089159718,0.033038563,0.023706897,0.073952549
Oregon Scientific Osaris 16MB,1/10/1999,2000,123,0.00778222,0.000130058,0.008763996,0.18705036,0.089430894,0.083333333,0.446111869,0.172131148,0.101988454,0.06342205,0.052586207,0.111812216
Oregon Scientific Osaris 4MB,1/10/1999,2000,124,0.001922666,0.000130058,0.008763996,0.18705036,0.089430894,0.083333333,0.446111869,0.172131148,0.101988454,0.06342205,0.052586207,0.111812216
Oregon Scientific Osaris 8MB,1/10/1999,2000,125,0.003875851,0.000130058,0.008763996,0.18705036,0.089430894,0.083333333,0.446111869,0.172131148,0.101988454,0.06342205,0.052586207,0.111812216
Hewlett-Packard Jornada 430 / 430 SE,1/11/1999,2000,126,0.00778222,0.000130058,0.06607413,0.129496403,0.056910569,0.142857143,0.204092769,0.329918033,0.107761386,0.042181444,0.040948276,0.17617365
Hewlett-Packard Jornada 690,1/11/1999,2000,127,0.015594958,0.000261141,0.06607413,0.345323741,0.219512195,0.103174603,0.497953615,0.18852459,0.178960872,0.121277006,0.096982759,0.15345785
Hewlett-Packard Jornada 690e,1/11/1999,2000,128,0.015594958,0.000261141,0.06607413,0.345323741,0.219512195,0.103174603,0.497953615,0.18852459,0.178960872,0.121277006,0.096982759,0.15345785
Psion Revo,1/11/1999,2000,129,0.003875851,0.000130058,0.017984201,0.223021583,0.154471545,0.063492063,0.410641201,0.12295082,0.069916613,0.03571505,0.030172414,0.153710247
Sharp Telios HC-AJ2,1/11/1999,2000,130,0.015594958,0.000392223,0.064073217,0.482014388,0.284552846,0.281746032,0.506139154,0.672131148,0.116100064,0.202470933,0.161637931,0.18753155
Compaq Aero 2150 / 2160 / 2180,1/12/1999,2000,131,0.011688589,0.000195599,0.034559759,0.165467626,0.056910569,0.142857143,0.214188267,0.348360656,0.089159718,0.039333662,0.043103448,0.139323574
NEC MobilePro 800,1/12/1999,2000,132,0.015594958,0.000392223,0.065073674,0.553956835,0.284552846,0.281746032,0.650750341,0.573770492,0.134060295,0.258248935,0.231465517,0.156234225
Philips Nino 500 / Nino 510 (Philips Atlantis),1/12/1999,2000,133,0.00778222,0.000261141,0.0370609,0.143884892,0.056910569,0.142857143,0.219645293,0.348360656,0.08274535,0.037984712,0.035991379,0.157748612
Vadem Clio C-1050,1/12/1999,2000,134,0.015594958,0.000392223,0.083582113,0.553956835,0.219512195,0.222222222,0.768076398,0.717213115,0.127645927,0.349699163,0.299784483,0.101716305
Casio Cassiopeia E-105,1/01/2000,2000,135,0.015594958,0.000261141,0.065073674,0.151079137,0.056910569,0.142857143,0.210368349,0.336885246,0.089159718,0.037535062,0.042025862,0.154972236
Palm IIIc,1/02/2000,2000,136,0.003875851,3.17E-05,0.009548354,0.115107914,0.024390244,0.063492063,0.19781719,0.319672131,0.069916613,0.027086054,0.028017241,0.060575467
Palm IIIxe,1/02/2000,2000,137,0.003875851,3.17E-05,0.007547442,0.115107914,0.024390244,0.063492063,0.203274216,0.286885246,0.076330981,0.027707,0.023706897,0.058556285
Ericsson MC218,1/03/2000,2000,138,0.00778222,0.000195599,0.017984201,0.28057554,0.219512195,0.103174603,0.446111869,0.168032787,0.108402822,0.06590583,0.063362069,0.19661787
IBM WorkPad c3,1/03/2000,2000,139,0.003875851,3.17E-05,0.009548354,0.107913669,0.024390244,0.063492063,0.200545703,0.270491803,0.025016036,0.0102563,0.011637931,0.0681474
